ninhada	especie
2	verde
3	verde
4	verde
4	verde
4	verde
4	verde
4	verde
4	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
5	verde
6	verde
6	verde
6	verde
6	verde
6	verde
6	verde
6	verde
6	verde
6	verde
6	verde
7	verde
7	verde
7	verde
7	verde
7	verde
7	verde
8	verde
3	malhado
3	malhado
4	malhado
4	malhado
4	malhado
4	malhado
4	malhado
4	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
5	malhado
6	malhado
6	malhado
6	malhado
6	malhado
6	malhado
6	malhado
6	malhado
6	malhado
6	malhado
6	malhado
6	malhado
6	malhado
6	malhado
7	malhado
7	malhado
7	malhado
7	malhado
7	malhado
9	malhado


